파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.1589,0.8829
val_006_result_Bmr019_chunk_3,0.1519,0.8900
val_044_result_Bed010_chunk_1,0.1118,0.8102
val_042_result_TS3009d_chunk_3,0.1517,0.9191
val_063_result_IS1009d_chunk_2,0.1840,0.8821
val_035_result_IS1000d_chunk_2,0.2404,0.9194
val_010_result_Bro003_chunk_1,0.1733,0.8824
val_040_result_Bmr013_chunk_4,0.1207,0.8187
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.1652,0.9355
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.2127,0.9269
val_056_result_Bmr012_chunk_1,0.1340,0.8738
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.1414,0.9051
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.1618,0.9047
val_044_result_Bed010_chunk_5,0.2485,0.8941
val_044_result_Bed010_chunk_4,0.1977,0.9105
val_056_result_Bmr012_chunk_4,0.2636,0.9204
val_025_result_IS1000b_chunk_2,0.1880,0.9312
val_017_result_IS1007b_chunk_2,0.0921,0.8485
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.2137,0.9446
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.0945,0.9533
val_044_result_Bed010_chunk_2,0.1304,0.8599
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.2423,0.9422
val_002_result_ES2014a,0.1557,0.9423
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.1563,0.8907
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.1895,0.9318
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.2090,0.9215
val_025_result_IS1000b_chunk_3,0.1587,0.9288
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.1303,0.9133
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.1835,0.9234
val_032_result_TS3010b_chunk_1,0.3659,0.9457
val_066_result_Bed002_chunk_4,0.2411,0.8559
val_021_result_Bro011_chunk_2,0.2133,0.8164
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.1418,0.9573
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.2649,0.9479
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.2927,0.9015
val_058_result_Bro004_chunk_3,0.1842,0.8426
val_025_result_IS1000b_chunk_1,0.2716,0.9335
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.1984,0.9223
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_3,0.2077,0.9243
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_20,0.0513,0.7874
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_1,0.3040,0.8903
val_040_result_Bmr013_chunk_1,0.1445,0.8738
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_4,0.2339,0.9400
val_065_result_제22대국회 제424회(임시회) 제4차 과학기술정보방송통신위원회(전체회의) (2025.04.24.)_chunk_1,0.2594,0.9109
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_5,0.1739,0.9295
val_061_result_TS3009b_chunk_1,0.4298,0.9372
val_036_result_Bed013_chunk_1,0.1282,0.8887
