파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.2288,0.8890
val_006_result_Bmr019_chunk_3,0.1366,0.8510
val_044_result_Bed010_chunk_1,0.0957,0.8532
val_042_result_TS3009d_chunk_3,0.1071,0.9037
val_063_result_IS1009d_chunk_2,0.1757,0.9028
val_035_result_IS1000d_chunk_2,0.1211,0.9098
val_010_result_Bro003_chunk_1,0.3289,0.8709
val_040_result_Bmr013_chunk_4,0.0806,0.8633
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.1027,0.9122
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.1762,0.9270
val_056_result_Bmr012_chunk_1,0.2020,0.8585
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.1555,0.9240
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.2753,0.8970
val_044_result_Bed010_chunk_5,0.2524,0.9122
val_044_result_Bed010_chunk_4,0.2111,0.9255
val_056_result_Bmr012_chunk_4,0.1560,0.8884
val_025_result_IS1000b_chunk_2,0.1672,0.9227
val_017_result_IS1007b_chunk_2,0.2192,0.8797
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.1434,0.9279
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.1221,0.9378
val_044_result_Bed010_chunk_2,0.1855,0.8798
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.1648,0.9363
val_002_result_ES2014a,0.1615,0.9403
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.1787,0.8540
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.1368,0.9397
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.1936,0.9251
val_025_result_IS1000b_chunk_3,0.1621,0.9525
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.0929,0.8525
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.1060,0.9161
val_032_result_TS3010b_chunk_1,0.3011,0.9187
val_066_result_Bed002_chunk_4,0.3119,0.8817
val_021_result_Bro011_chunk_2,0.1603,0.8929
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.1841,0.9145
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.1354,0.8848
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.2430,0.8766
val_058_result_Bro004_chunk_3,0.1867,0.8951
val_025_result_IS1000b_chunk_1,0.1817,0.9081
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.1815,0.9034
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_3,0.1603,0.9001
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_20,0.1427,0.8682
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_1,0.1892,0.8396
val_040_result_Bmr013_chunk_1,0.1833,0.8651
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_4,0.2075,0.9258
val_065_result_제22대국회 제424회(임시회) 제4차 과학기술정보방송통신위원회(전체회의) (2025.04.24.)_chunk_1,0.3328,0.9157
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_5,0.1344,0.8905
val_061_result_TS3009b_chunk_1,0.3630,0.9293
val_036_result_Bed013_chunk_1,0.1257,0.7962
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_16,0.1583,0.9133
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_14,0.1081,0.9195
val_007_result_Bmr025_chunk_4,0.2257,0.8975
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_5,0.1603,0.8764
val_048_result_Bmr006_chunk_6,0.3021,0.9393
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_21,0.1493,0.8887
val_003_result_제22대국회 제418회(정기회) 제5차 과학기술정보방송통신위원회(예산결산심사소위원회) (2024.11.19.)_chunk_2,0.1552,0.7983
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_6,0.2809,0.8363
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_13,0.1957,0.9168
val_043_result_ES2007d_chunk_2,0.1581,0.9356
val_048_result_Bmr006_chunk_1,0.1296,0.9094
val_036_result_Bed013_chunk_2,0.1978,0.9236
val_031_result_IS1001b_chunk_1,0.1620,0.9535
val_015_result_제22대국회 제418회(정기회) 제11차 과학기술정보방송통신위원회(전체회의) (2024.10.25.),0.3034,0.9265
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_11,0.1628,0.8936
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_19,0.1045,0.8785
val_040_result_Bmr013_chunk_3,0.0913,0.8400
val_038_result_제22대국회 제427회(임시회) 제4차 기획재정위원회(전체회의) (2025.07.18.),0.3585,0.9229
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_3,0.1763,0.9062
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_13,0.2270,0.9099
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_7,0.2826,0.9517
val_021_result_Bro011_chunk_4,0.1332,0.8827
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_1,0.3719,0.9158
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_2,0.1047,0.8150
val_026_result_ES2015c_chunk_2,0.2695,0.9143
val_061_result_TS3009b_chunk_2,0.2180,0.9491
val_048_result_Bmr006_chunk_2,0.2583,0.9456
val_049_result_Bro028_chunk_3,0.1741,0.8786
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_13,0.1700,0.9149
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_6,0.2119,0.9119
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_17,0.1723,0.9097
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_17,0.2291,0.9413
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_20,0.0890,0.9391
val_042_result_TS3009d_chunk_1,0.1486,0.8810
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_4,0.1838,0.9130
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_10,0.0997,0.8939
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_5,0.0887,0.8857
val_029_result_Bed016_chunk_1,0.1516,0.8748
val_031_result_IS1001b_chunk_2,0.1899,0.9358
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_22,0.3330,0.9176
