파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.2264,0.9051
val_006_result_Bmr019_chunk_3,0.1767,0.8896
val_044_result_Bed010_chunk_1,0.1926,0.8508
val_042_result_TS3009d_chunk_3,0.1120,0.9185
val_063_result_IS1009d_chunk_2,0.2073,0.9205
val_035_result_IS1000d_chunk_2,0.1784,0.9162
val_010_result_Bro003_chunk_1,0.2978,0.8911
val_040_result_Bmr013_chunk_4,0.0907,0.8631
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.1446,0.9477
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.3114,0.9396
val_056_result_Bmr012_chunk_1,0.2174,0.9039
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.0886,0.8403
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.1607,0.9284
val_044_result_Bed010_chunk_5,0.1843,0.8934
val_044_result_Bed010_chunk_4,0.2086,0.8924
val_056_result_Bmr012_chunk_4,0.3090,0.9530
val_025_result_IS1000b_chunk_2,0.1827,0.9670
val_017_result_IS1007b_chunk_2,0.1864,0.8245
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.1785,0.9536
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.1139,0.9453
val_044_result_Bed010_chunk_2,0.2222,0.9006
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.1956,0.9511
val_002_result_ES2014a,0.1845,0.9683
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.2173,0.9056
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.1468,0.9389
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.2228,0.9621
val_025_result_IS1000b_chunk_3,0.1681,0.9397
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.2088,0.9140
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.1838,0.9392
val_032_result_TS3010b_chunk_1,0.2442,0.9388
val_066_result_Bed002_chunk_4,0.2828,0.8859
val_021_result_Bro011_chunk_2,0.1849,0.9281
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.2047,0.9586
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.1675,0.9327
